id,text,Combined_Text
151,"東京電力・福島第１原発事故により、塗炭（とたん）の苦しみを嘗（な）めさせられている、被害地域の第１次産業従事者の皆さん——。
",東京電力・福島第１原発事故により、塗炭（とたん）の苦しみを嘗（な）めさせられている、被害地域の第１次産業従事者の皆さん——。
152,"皆さんのかけがえのない労働を、その成果を、乳飲み子を抱えた母親たちに恐怖させるほどにまで侮辱し、貶（おとし）めた、その真の加害者は誰なのか？　
",皆さんのかけがえのない労働を、その成果を、乳飲み子を抱えた母親たちに恐怖させるほどにまで侮辱し、貶（おとし）めた、その真の加害者は誰なのか？
153,"私たちは、もうこれ以上、彼ら卑劣な敵たちに分断され、作られた反目の図式に囚（とら）われているわけにはいきません。
",私たちは、もうこれ以上、彼ら卑劣な敵たちに分断され、作られた反目の図式に囚（とら）われているわけにはいきません。
154,"ですから、皆さんにもはっきり認識し、表明していただきたいのです。
",ですから、皆さんにもはっきり認識し、表明していただきたいのです。
155,"皆さんが被っているのは、東京電力・福島第１原発事故による「実害」であるのだ——と。
",皆さんが被っているのは、東京電力・福島第１原発事故による「実害」であるのだ——と。
156,"株式会社東京電力と、日本政府とにより、この国にもたらされた核被害は、これほどまでに深刻なのだ——と。
",株式会社東京電力と、日本政府とにより、この国にもたらされた核被害は、これほどまでに深刻なのだ——と。
157,"とりわけ本年３月11日以来、東京電力・福島第１原発事故により、直接的な被害を受け、さらにその後の東京電力・日本政府・商業ジャーナリズムの非人間的な対応に苦しめられつづけている皆さんへ——。
",とりわけ本年３月11日以来、東京電力・福島第１原発事故により、直接的な被害を受け、さらにその後の東京電力・日本政府・商業ジャーナリズムの非人間的な対応に苦しめられつづけている皆さんへ——。
158,"「人間の仕事」として、この世で最も価値あるものは、農業をはじめ、水産業・林業等の第１次産業です。
",「人間の仕事」として、この世で最も価値あるものは、農業をはじめ、水産業・林業等の第１次産業です。
159,"それはすべての人間の生命の源であり、第１次産業の労働の成果なくしては、人は生きてゆくことが出来ないし、また社会も成り立たないでしょう。
",それはすべての人間の生命の源であり、第１次産業の労働の成果なくしては、人は生きてゆくことが出来ないし、また社会も成り立たないでしょう。
160,"にもかかわらず、実態のない幻想にすぎないお金を——「貨幣」を、その上位に置き、第１次産業をないがしろにしてきた、この国の長い年月に及ぶ過ちが、最終的に凝縮し、大破滅を迎えたのが、今回の東京電力・福島第１原発事故にほかなりません。
",にもかかわらず、実態のない幻想にすぎないお金を——「貨幣」を、その上位に置き、第１次産業をないがしろにしてきた、この国の長い年月に及ぶ過ちが、最終的に凝縮し、大破滅を迎えたのが、今回の東京電力・福島第１原発事故にほかなりません。
161,"しかしながら、救い難い日本政府は、この段階に及んでなお、福島第１原発から撒（ま）き散らされる放射性物質・汚染水が、金で買うことのできない、かけがえのない自然を—— 農地や漁場を汚染してゆくに任せ、命を削り、命を賭して農業・漁業に従事されてきた皆さんの、困難極まりない状況を完全に放置しています。
",しかしながら、救い難い日本政府は、この段階に及んでなお、福島第１原発から撒（ま）き散らされる放射性物質・汚染水が、金で買うことのできない、かけがえのない自然を—— 農地や漁場を汚染してゆくに任せ、命を削り、命を賭して農業・漁業に従事されてきた皆さんの、困難極まりない状況を完全に放置しています。
162,"「政治不在」どころか、こんな政府なら即刻、消滅してくれた方が、まだましだと言うしかないほどの絶望的な事態が続いています。
",「政治不在」どころか、こんな政府なら即刻、消滅してくれた方が、まだましだと言うしかないほどの絶望的な事態が続いています。
163,"なぜなら、いまこの国には、少なくとも二重の意味で、空前の絶望的な事態が進行しているからです。
",なぜなら、いまこの国には、少なくとも二重の意味で、空前の絶望的な事態が進行しているからです。
164,"それは第１には、言うまでもなく、チェルノブイリ原子力発電所事故をもはるかに上回る、人類史上かつてない規模の放射能汚染のとどまることを知らぬ……それも、度重なる汚染水の海洋放出に盛られるような「人為的拡大」です。
",それは第１には、言うまでもなく、チェルノブイリ原子力発電所事故をもはるかに上回る、人類史上かつてない規模の放射能汚染のとどまることを知らぬ……それも、度重なる汚染水の海洋放出に盛られるような「人為的拡大」です。
165,"そして第２には、この東京電力・福島第１原発事故による核汚染の、歴然たる加害者ばかりか……被害者までもが、その事実を隠蔽しようとする——ないしは、軽視し、等閑に付そうとする行為に、結果的に加担してしまっている（加担させられてしまっている）という、悲劇的な事実です。
",そして第２には、この東京電力・福島第１原発事故による核汚染の、歴然たる加害者ばかりか……被害者までもが、その事実を隠蔽しようとする——ないしは、軽視し、等閑に付そうとする行為に、結果的に加担してしまっている（加担させられてしまっている）という、悲劇的な事実です。
166,"私も何年か前から、いささかは、東日本——東北や関東、北海道の農業生産者と、直接の交流を持ってきました。
",私も何年か前から、いささかは、東日本——東北や関東、北海道の農業生産者と、直接の交流を持ってきました。
167,"その皆さんが、多年にわたり、いかに田畑を丹精し、お金に替えることのできない労働をもって、本来、お金で買うことのできない「命」を——農作物を作ってこられているかを、つぶさに見てきました。
",その皆さんが、多年にわたり、いかに田畑を丹精し、お金に替えることのできない労働をもって、本来、お金で買うことのできない「命」を——農作物を作ってこられているかを、つぶさに見てきました。
168,"しかし——だからこそ私は、皆さんにお願いしたいことがあるのです。
",しかし——だからこそ私は、皆さんにお願いしたいことがあるのです。
169,"「風評被害」という言葉を用いるのを、再考していただきたいのです。
",「風評被害」という言葉を用いるのを、再考していただきたいのです。
170,"東京電力・福島第１原発事故によって撒き散らされ、垂れ流されている放射性物質に起因する——。
",東京電力・福島第１原発事故によって撒き散らされ、垂れ流されている放射性物質に起因する——。
171,"そして、その実害は、当然のことながら、私たち遠隔地の消費者にも及んでいます。
",そして、その実害は、当然のことながら、私たち遠隔地の消費者にも及んでいます。
172,"国の「暫定基準値」を下回っているから、それを心配する声は、すなわち「風評」だと言うのでしょうか？　
",国の「暫定基準値」を下回っているから、それを心配する声は、すなわち「風評」だと言うのでしょうか？
173,"私はこのブログを通じても再三、明らかにしてきましたが、現在の日本政府の設定した「暫定基準値」など、世界に例を見ない、まったく意味を成さない殺人的な数値です。
",私はこのブログを通じても再三、明らかにしてきましたが、現在の日本政府の設定した「暫定基準値」など、世界に例を見ない、まったく意味を成さない殺人的な数値です。
174,"この犯罪的な日本政府が指し示す「暫定基準値」とは、一体、何でしょう？　
",この犯罪的な日本政府が指し示す「暫定基準値」とは、一体、何でしょう？
175,"そして、こんな「暫定基準」を、私たちは拠り所にできるでしょうか？　
",そして、こんな「暫定基準」を、私たちは拠り所にできるでしょうか？
176,"「風評被害」という言葉を遣（つか）うのは、もうやめてください。
",「風評被害」という言葉を遣（つか）うのは、もうやめてください。
177,"にもかかわらず、当初の予定がここまで遅れてしまったのには、言うまでもなく、直截（ちょくせつ）には、3月11日以降の東京電力・福島第１原発事故が影響している。（＊）
",にもかかわらず、当初の予定がここまで遅れてしまったのには、言うまでもなく、直截（ちょくせつ）には、3月11日以降の東京電力・福島第１原発事故が影響している。（＊）
178,"むしろ、何も語らぬ方がまだましなのではないかとすら思わざるを得ないほどに。
",むしろ、何も語らぬ方がまだましなのではないかとすら思わざるを得ないほどに。
179,"しかしながら、だからといって、何も語らぬことが表現者の誠実であるなどというはずはない。
",しかしながら、だからといって、何も語らぬことが表現者の誠実であるなどというはずはない。
180,"——その意味では、そんな私の遅滞に粘り強く対応してもらった『週刊金曜日』にも感謝している。
",——その意味では、そんな私の遅滞に粘り強く対応してもらった『週刊金曜日』にも感謝している。
181,"この国の「紙メディア」に、こうした編集者が長く存在しつづけてくれることを、私は願っている。
",この国の「紙メディア」に、こうした編集者が長く存在しつづけてくれることを、私は願っている。
182,"東京電力・福島第１原発事故を「絵画」で表現するという企ての、これは１つの極限であろう。
",東京電力・福島第１原発事故を「絵画」で表現するという企ての、これは１つの極限であろう。
183,"光州やロンドンと同様、デュッセルドルフもまた、いまや、私にとっては、自らの魂の一部を置いてきた土地であるかのようだ。
",光州やロンドンと同様、デュッセルドルフもまた、いまや、私にとっては、自らの魂の一部を置いてきた土地であるかのようだ。
184,"＊＊＊＊ 「『美』と『命』の距離について——《光州の記憶から東アジアの平和へ》展と日本人」（「週刊金曜日」2005年12月9日号（第585号）。
",＊＊＊＊ 「『美』と『命』の距離について——《光州の記憶から東アジアの平和へ》展と日本人」（「週刊金曜日」2005年12月9日号（第585号）。
185,"およそ8800kmを隔てた2つの都市には、私にとって、同世代の友としての「実在」を伴った、絵画の散開星団が展開する。
",およそ8800kmを隔てた2つの都市には、私にとって、同世代の友としての「実在」を伴った、絵画の散開星団が展開する。
187,"あ！っとここで気付きました。これ、拠点襲撃です。IGの大きな特徴である、大規模襲撃です。ラッドスコルピオンがやってくるパターンは初めてだったので、すぐにはピンと来ませんでした。
",あ！っとここで気付きました。これ、拠点襲撃です。IGの大きな特徴である、大規模襲撃です。ラッドスコルピオンがやってくるパターンは初めてだったので、すぐにはピンと来ませんでした。
189,"『バイオハザード7 レジデント イービル』（バイオハザードセブン レジテント イービル、BIOHAZARD 7 resident evil, 日本国外版：RESIDENT EVIL 7 biohazard）は、カプコンより2017年1月26日に発売されたゲームソフト。キャッチコピーは「すべては恐怖のために」「すべては恐怖に抗うために」。
","『バイオハザード7 レジデント イービル』（バイオハザードセブン レジテント イービル、BIOHAZARD 7 resident evil, 日本国外版：RESIDENT EVIL 7 biohazard）は、カプコンより2017年1月26日に発売されたゲームソフト。キャッチコピーは「すべては恐怖のために」「すべては恐怖に抗うために」。"
190,"『バイオハザードシリーズ』20周年記念作品第2弾。同シリーズゲームとしては、第1弾『バイオハザード アンブレラコア』より約半年振りとなり、ナンバリング作品としては前作『バイオハザード6』からおよそ4年振りのリリース。
",『バイオハザードシリーズ』20周年記念作品第2弾。同シリーズゲームとしては、第1弾『バイオハザード アンブレラコア』より約半年振りとなり、ナンバリング作品としては前作『バイオハザード6』からおよそ4年振りのリリース。
191,"時系列としては前作『6』での事件から4～5年後、『アンブレラコア』から1年後の2017年7月頃であり、主人公のイーサン・ウィンターズが妻のミアから受け取ったメッセージを切っ掛けにバイオハザードに見舞われたとある家に潜入し、ミアの救出と、そこからの脱出までのストーリーが描かれる。
",時系列としては前作『6』での事件から4～5年後、『アンブレラコア』から1年後の2017年7月頃であり、主人公のイーサン・ウィンターズが妻のミアから受け取ったメッセージを切っ掛けにバイオハザードに見舞われたとある家に潜入し、ミアの救出と、そこからの脱出までのストーリーが描かれる。
192,"なお、残虐表現が最も強いのは日本国外版であり、国内版のグロテスクver.でさえ日本国外版から切断描写の一部が削除されているため、完全に同一の内容ではない。通常版・グロテスクVer.両方とも、2016年11月10日に発売されたPlayStation 4 PROでプレイする場合、4K UHDTV解像度でのプレイが可能。
",なお、残虐表現が最も強いのは日本国外版であり、国内版のグロテスクver.でさえ日本国外版から切断描写の一部が削除されているため、完全に同一の内容ではない。通常版・グロテスクVer.両方とも、2016年11月10日に発売されたPlayStation 4 PROでプレイする場合、4K UHDTV解像度でのプレイが可能。
193,"「日本ゲーム大賞」「プレイステーションアワード」などのゲームアワードにおいて多くの賞を受賞した。
",「日本ゲーム大賞」「プレイステーションアワード」などのゲームアワードにおいて多くの賞を受賞した。
194,"『バイオハザード7』の開発中の一部コンテンツを『KITCHEN』（キッチン）というタイトルでプロジェクト・モーフィアス（PlayStation VRの開発中のコード名）専用コンテンツとして2015年のE3と東京ゲームショウに出展したところ、好評を博した。ホラーゲームとVRは相性がいいことが判明したため、一部ではなく『バイオハザード7』全体をVRに対応することが決定した。
",『バイオハザード7』の開発中の一部コンテンツを『KITCHEN』（キッチン）というタイトルでプロジェクト・モーフィアス（PlayStation VRの開発中のコード名）専用コンテンツとして2015年のE3と東京ゲームショウに出展したところ、好評を博した。ホラーゲームとVRは相性がいいことが判明したため、一部ではなく『バイオハザード7』全体をVRに対応することが決定した。
195,"「新生バイオハザード」とも銘打たれており、プロデューサー・川田将央は、バイオハザードは『1』- 『3』と『4』 - 『6』ではゲーム性が変化しているが、『7』ではまた新たな変革になると語っている[7]。
",「新生バイオハザード」とも銘打たれており、プロデューサー・川田将央は、バイオハザードは『1』- 『3』と『4』 - 『6』ではゲーム性が変化しているが、『7』ではまた新たな変革になると語っている[7]。
196,"また、初代『バイオハザード』の体験に近いものにするため、真新しいシステムやイメージの一新を図ろうとした。一人称視点（FPS）やVRはフォトリアルにすることでさらに没入感を高めることを目的としている[8]。
",また、初代『バイオハザード』の体験に近いものにするため、真新しいシステムやイメージの一新を図ろうとした。一人称視点（FPS）やVRはフォトリアルにすることでさらに没入感を高めることを目的としている[8]。
197,"なお、REエンジンは本作での好評を受け、2019年発売予定の『2』のリメイク作品『バイオハザード RE:2』にも搭載される予定[10]。
",なお、REエンジンは本作での好評を受け、2019年発売予定の『2』のリメイク作品『バイオハザード RE:2』にも搭載される予定[10]。
198,"プレイデータのセーブは、マップ上の特定の箇所に設置された「カセットレコーダー」を操作することで実行される。このシステムは『1』から『4』にかけて存在した「タイプライター」の形式を彷彿とさせるものであるが、特に高難易度「Madhouse」では『3』までの「インクリボン」と同様に「カセットテープ」なる専用の消費アイテムが必要であり、「プレイ中のセーブ回数に上限がある」という過去作の難度を踏襲している。
",プレイデータのセーブは、マップ上の特定の箇所に設置された「カセットレコーダー」を操作することで実行される。このシステムは『1』から『4』にかけて存在した「タイプライター」の形式を彷彿とさせるものであるが、特に高難易度「Madhouse」では『3』までの「インクリボン」と同様に「カセットテープ」なる専用の消費アイテムが必要であり、「プレイ中のセーブ回数に上限がある」という過去作の難度を踏襲している。
199,"不完全な絵を完成させるには、その影の角度を微調整して型に当てはまるよう操作しなければならないことはもとより、ライトにかざすべきアイテムが何であるかも推理しなければならない。
",不完全な絵を完成させるには、その影の角度を微調整して型に当てはまるよう操作しなければならないことはもとより、ライトにかざすべきアイテムが何であるかも推理しなければならない。
200,"エリア内の特定の位置に配置されている手乗りサイズの首振り人形。『4』での「青いコイン」、『5』と『6』での「エンブレム」に相当するオブジェクトで、どのような攻撃でも一撃を与えることで粉砕でき、1体でも破壊すると「どこにでもいる」が、全20体を破壊すると「もうどこにもいない」の称号がトロフィー/実績として獲得でき、その後に本編をクリアすれば、それ以降のプレイから隠しアイテムが開放される[注 3]。
",エリア内の特定の位置に配置されている手乗りサイズの首振り人形。『4』での「青いコイン」、『5』と『6』での「エンブレム」に相当するオブジェクトで、どのような攻撃でも一撃を与えることで粉砕でき、1体でも破壊すると「どこにでもいる」が、全20体を破壊すると「もうどこにもいない」の称号がトロフィー/実績として獲得でき、その後に本編をクリアすれば、それ以降のプレイから隠しアイテムが開放される[注 3]。
201,"イーサン・ウィンターズは3年前に突然行方不明となった妻・ミアをずっと探し続けていた。
",イーサン・ウィンターズは3年前に突然行方不明となった妻・ミアをずっと探し続けていた。
202,"屋敷に囚われてしまったイーサンは、電話でコンタクトを取ってきた謎の女性・ゾイの協力を得ながら、狂気に満ちたベイカー農場からの脱出を試みる。そして、長い探索の果てにミアやベイカー家を襲った生物災害（バイオハザード）の真実を知り、すべての元凶として屋敷に潜む邪悪な存在と対峙することになる。
",屋敷に囚われてしまったイーサンは、電話でコンタクトを取ってきた謎の女性・ゾイの協力を得ながら、狂気に満ちたベイカー農場からの脱出を試みる。そして、長い探索の果てにミアやベイカー家を襲った生物災害（バイオハザード）の真実を知り、すべての元凶として屋敷に潜む邪悪な存在と対峙することになる。
203,"本作の主人公。既婚者だが3年前に妻のミアが謎の失踪を遂げており、突如彼女から届けられたメッセージをきっかけに単身でベイカー邸を探索していたところ、謎の一族、「ベイカー一家」に拉致された。
",本作の主人公。既婚者だが3年前に妻のミアが謎の失踪を遂げており、突如彼女から届けられたメッセージをきっかけに単身でベイカー邸を探索していたところ、謎の一族、「ベイカー一家」に拉致された。
204,"物語は基本的に彼の一人称視点で進むため、外見が確認できるのは一部のムービーのみであるが、そのムービーでも地面に突っ伏して気絶していたりなど顔はほとんど見えないようになっている。
",物語は基本的に彼の一人称視点で進むため、外見が確認できるのは一部のムービーのみであるが、そのムービーでも地面に突っ伏して気絶していたりなど顔はほとんど見えないようになっている。
205,"ベイカー邸に足を踏み入れた際にエヴリンの特異菌に感染しており、手足に切断のような重傷を負っても簡単な手当で完全に回復するなど[注 4]、エヴリンの支配を受けるほど重症ではないものの異常な再生能力を手に入れていた。
",ベイカー邸に足を踏み入れた際にエヴリンの特異菌に感染しており、手足に切断のような重傷を負っても簡単な手当で完全に回復するなど[注 4]、エヴリンの支配を受けるほど重症ではないものの異常な再生能力を手に入れていた。
206,"襲い来るベイカー一家を退け、ついにはエヴリンを倒して脱出に成功する。
",襲い来るベイカー一家を退け、ついにはエヴリンを倒して脱出に成功する。
207,"3年前から行方不明になっていたイーサンの妻。イーサンは彼女の名前で送られてきた「迎えに来てほしい」というメッセージに従ってベイカー邸を訪れたが、冒頭ではイーサンに「あなたに嘘をついていた」「私を探さないで」というメッセージを送ろうとしていたり、ベイカー邸で彼と再会した際には突如として凶暴化し襲い掛かるなどの不可解な行動を見せる。
",3年前から行方不明になっていたイーサンの妻。イーサンは彼女の名前で送られてきた「迎えに来てほしい」というメッセージに従ってベイカー邸を訪れたが、冒頭ではイーサンに「あなたに嘘をついていた」「私を探さないで」というメッセージを送ろうとしていたり、ベイカー邸で彼と再会した際には突如として凶暴化し襲い掛かるなどの不可解な行動を見せる。
208,"その正体はエヴリンを開発した組織に所属する工作員であり、自分の仕事については夫のイーサンには秘密にしていた。行方不明となった際には生物兵器であるエヴリンの護送のために船に乗り込んでおり、エヴリンが引き起こしたバイオハザードから唯一生き残りその後ベイカー一家に保護される。その際に特異菌に感染しており、ベイカー一家に対して「黒髪の少女を見つけても接触してはならない」という旨のメモ書きを残すも時すでに遅く、エヴリンを保護したことにより一家は一夜のうちに感染させられてしまい、自身もベイカー一家から抜け出すことが出来なくなってしまった。
",その正体はエヴリンを開発した組織に所属する工作員であり、自分の仕事については夫のイーサンには秘密にしていた。行方不明となった際には生物兵器であるエヴリンの護送のために船に乗り込んでおり、エヴリンが引き起こしたバイオハザードから唯一生き残りその後ベイカー一家に保護される。その際に特異菌に感染しており、ベイカー一家に対して「黒髪の少女を見つけても接触してはならない」という旨のメモ書きを残すも時すでに遅く、エヴリンを保護したことにより一家は一夜のうちに感染させられてしまい、自身もベイカー一家から抜け出すことが出来なくなってしまった。
209,"ジャックたちのように完全に支配されてはいないが症状の進行によってエヴリンの影響を受けており、彼女に唆されてイーサンに襲い掛かっていた。そのため、血清によってエヴリンの支配下を脱しなければ脱出できない状況に陥っている。
",ジャックたちのように完全に支配されてはいないが症状の進行によってエヴリンの影響を受けており、彼女に唆されてイーサンに襲い掛かっていた。そのため、血清によってエヴリンの支配下を脱しなければ脱出できない状況に陥っている。
210,"このクリーチャー化したジャックの誕生経緯や本人なのかどうかは、作中で断片的にしか語られず不明な点が多い。しかし、ゾイに対しては決して危害を加えず、共にベイカー邸へ戻ろうとしたことなど、ジャックの父親としての意識を本能的に持っていたことが伺える。
",このクリーチャー化したジャックの誕生経緯や本人なのかどうかは、作中で断片的にしか語られず不明な点が多い。しかし、ゾイに対しては決して危害を加えず、共にベイカー邸へ戻ろうとしたことなど、ジャックの父親としての意識を本能的に持っていたことが伺える。
211,"作中で家族写真を見ることが出来るがそこに「祖母」の姿は写っておらず、廃屋でミアと合流した直後に発見する老婆だけが写った写真の裏には識別番号と思われる意味深な単語が書かれているなど、序盤からその正体に関しての伏線が張られている。
",作中で家族写真を見ることが出来るがそこに「祖母」の姿は写っておらず、廃屋でミアと合流した直後に発見する老婆だけが写った写真の裏には識別番号と思われる意味深な単語が書かれているなど、序盤からその正体に関しての伏線が張られている。
212,"DLC『21』に登場する男性。ずた袋を被せられており素顔はわからない。
",DLC『21』に登場する男性。ずた袋を被せられており素顔はわからない。
213,"家族がおり、娘の名前はメリッサ。必ず生還して再会すると口にしていたが、この時点でホフマンは特異菌による感染が示唆され、人格に及ぶほど進行していた様子が描写されている。
",家族がおり、娘の名前はメリッサ。必ず生還して再会すると口にしていたが、この時点でホフマンは特異菌による感染が示唆され、人格に及ぶほど進行していた様子が描写されている。
214,"クリスが来たときには廃鉱の奥で首に爆弾を付けられて倒れており、助けることになるが、普通に助けようとするとトラップが作動するため、先にトラップを解除する必要がある。
",クリスが来たときには廃鉱の奥で首に爆弾を付けられて倒れており、助けることになるが、普通に助けようとするとトラップが作動するため、先にトラップを解除する必要がある。
215,"助けられた後はクリスと共に脱出しようとするが、前述の爆弾が爆発し、死亡する。
",助けられた後はクリスと共に脱出しようとするが、前述の爆弾が爆発し、死亡する。
216,"彼女との戦闘は正面から迫ってくるのをただ迎撃し続けることで進行するため、過去作のようなラスボス戦ではなくエンディングを前にしたイベント戦闘という意味合いが強い。
",彼女との戦闘は正面から迫ってくるのをただ迎撃し続けることで進行するため、過去作のようなラスボス戦ではなくエンディングを前にしたイベント戦闘という意味合いが強い。
217,"『End of Zoe』に登場する。ベイカー邸周辺の湿地帯に生息する野生のワニだが、特異菌に感染している為か、身体に胞子のようなものが付いている。
",『End of Zoe』に登場する。ベイカー邸周辺の湿地帯に生息する野生のワニだが、特異菌に感染している為か、身体に胞子のようなものが付いている。
218,"前作『6』ではオリジナルデザインの架空の銃が大半であったのに対し、今作では具体的な名称ではないものの、『5』までと同様に実銃の外観を持った銃器となっている。また、本作では弾薬の売買システムが廃止され、弾薬の入手機会が低下している。
",前作『6』ではオリジナルデザインの架空の銃が大半であったのに対し、今作では具体的な名称ではないものの、『5』までと同様に実銃の外観を持った銃器となっている。また、本作では弾薬の売買システムが廃止され、弾薬の入手機会が低下している。
219,"何度か使用していると電源が落ちる為、リロードボタンでエンジンを掛け直す必要がある。
",何度か使用していると電源が落ちる為、リロードボタンでエンジンを掛け直す必要がある。
220,"DLC『ジャック55thバースデー』である条件を達成することで入手できる。
",DLC『ジャック55thバースデー』である条件を達成することで入手できる。
221,"ストーリーモードでは難易度を問わず、4時間以内でクリアすると入手可能となる。
",ストーリーモードでは難易度を問わず、4時間以内でクリアすると入手可能となる。
222,"本館のホールに飾られており、取得するために仕掛けを解かなくてはならない。
",本館のホールに飾られており、取得するために仕掛けを解かなくてはならない。
223,"本館で手に入る壊れたショットガンをリペアキットで修理する事で使用可能となるが、序盤では上記のM37を入手する為の仕掛けを解く鍵として使用するため、武器として使用する事が可能となるのは中盤に手に入るあるアイテムを入手した後になる。しかしこのキーアイテムは高難易度モード「Madhouse」では序盤に入手可能となっており、早い段階で扱えるようになる。
",本館で手に入る壊れたショットガンをリペアキットで修理する事で使用可能となるが、序盤では上記のM37を入手する為の仕掛けを解く鍵として使用するため、武器として使用する事が可能となるのは中盤に手に入るあるアイテムを入手した後になる。しかしこのキーアイテムは高難易度モード「Madhouse」では序盤に入手可能となっており、早い段階で扱えるようになる。
224,"撃った際の反動による手ブレが激しいので照準がずれやすく、一発の攻撃力はハンドガンより低いが、連射することで相手を足止めしながら実用的に大きなダメージを与えることができる。
",撃った際の反動による手ブレが激しいので照準がずれやすく、一発の攻撃力はハンドガンより低いが、連射することで相手を足止めしながら実用的に大きなダメージを与えることができる。
225,"また、これまでのシリーズ同様に多くの扉が施錠されており、それらの鍵を開けるのに扉に貼り付けられた剥製と同じ動物の鍵『蛇』『蠍』『カラス』が必要とされる部屋がある。
",また、これまでのシリーズ同様に多くの扉が施錠されており、それらの鍵を開けるのに扉に貼り付けられた剥製と同じ動物の鍵『蛇』『蠍』『カラス』が必要とされる部屋がある。
226,"他にも旧館や実験場などに入る為のアイテムが隠されている場合があり、他のエリアに行き来できるようになって以降も頻繁に戻ってくる必要がある。
",他にも旧館や実験場などに入る為のアイテムが隠されている場合があり、他のエリアに行き来できるようになって以降も頻繁に戻ってくる必要がある。
227,"地下には後述の加工場が設けられている他、2階にはかつてルーカスが使っていた子供部屋があり、彼が自作したからくりを起動させる事で屋根裏部屋に登る事ができる。中庭へ続く出口はホールの扉のみであるが、外へ出る為には屋敷の各所に隠された3つの魔犬のレリーフが必要とされる。
",地下には後述の加工場が設けられている他、2階にはかつてルーカスが使っていた子供部屋があり、彼が自作したからくりを起動させる事で屋根裏部屋に登る事ができる。中庭へ続く出口はホールの扉のみであるが、外へ出る為には屋敷の各所に隠された3つの魔犬のレリーフが必要とされる。
228,"ベイカー家に拉致された人間をここで転化させたり解体しているらしく、至る所に人肉や死体袋が置かれている。
",ベイカー家に拉致された人間をここで転化させたり解体しているらしく、至る所に人肉や死体袋が置かれている。
229,"本館から中庭や森を挟んで離れた場所に位置するもう一つのベイカー家の邸宅。本館同様に地上2階・地下1階建ての構造だが、特異菌の汚染に加え、3年前にベイカー一家がエヴリン達を保護する直前に発生していたハリケーンによる暴風雨の被害を受けていた事もあって、本館以上に荒廃しており、屋敷全体が半壊した廃墟同然の状態となってしまっている。
",本館から中庭や森を挟んで離れた場所に位置するもう一つのベイカー家の邸宅。本館同様に地上2階・地下1階建ての構造だが、特異菌の汚染に加え、3年前にベイカー一家がエヴリン達を保護する直前に発生していたハリケーンによる暴風雨の被害を受けていた事もあって、本館以上に荒廃しており、屋敷全体が半壊した廃墟同然の状態となってしまっている。
230,"最深部にはルーカスの監視部屋があり、そこからボートハウスへと続く桟橋に出る事ができる。
",最深部にはルーカスの監視部屋があり、そこからボートハウスへと続く桟橋に出る事ができる。
231,"その後、大破した状態でベイカー農場付近の沼に漂着し以降はそのまま放置されている。内部は至る所に船員だったであろうカビの塊がオブジェの様に佇む異様な空間にモールデッドの巣窟と化している他、事件発生から3年経った2017年の間も電力は生きている。
",その後、大破した状態でベイカー農場付近の沼に漂着し以降はそのまま放置されている。内部は至る所に船員だったであろうカビの塊がオブジェの様に佇む異様な空間にモールデッドの巣窟と化している他、事件発生から3年経った2017年の間も電力は生きている。
232,"正式名称は「ゲノム・コデックス」。エヴリンを開発した組織によって作られた物で、本来はエヴリンの位置情報やバイタルサインを表示し監視するための装置で、所持者同士での通話も可能。
",正式名称は「ゲノム・コデックス」。エヴリンを開発した組織によって作られた物で、本来はエヴリンの位置情報やバイタルサインを表示し監視するための装置で、所持者同士での通話も可能。
233,"作中で読める研究資料から正式名称は「■■■■・■■■■■」の文字列だということだけ確認できる。
",作中で読める研究資料から正式名称は「■■■■・■■■■■」の文字列だということだけ確認できる。
234,"エヴリンの他に生物兵器として開発されていた者達。特異菌のゲノムをステージ4以降のヒト胚に組み込み、38～40週の培養によって開発された。開発途上で性能不良が発見されたものはA～Dのナンバリングがされ、全ての課題をクリアしたエヴリンのみE型被験体と呼ばれていた。共通点として10歳前後の少女の外見をしており、これは都市や難民などの社会集団に紛れ込ませるのが容易であるからとされる。なお、組織は被験体（エヴリン）の護送の際には父親役（アラン）、母親役（ミア）の2名の同伴を推奨している。これは周囲に一般的な「家族」であると偽装させるとともに、親という立ち位置を設けることで被験体にある程度の服従心を擦り込ませる意図があるとされる。
",エヴリンの他に生物兵器として開発されていた者達。特異菌のゲノムをステージ4以降のヒト胚に組み込み、38～40週の培養によって開発された。開発途上で性能不良が発見されたものはA～Dのナンバリングがされ、全ての課題をクリアしたエヴリンのみE型被験体と呼ばれていた。共通点として10歳前後の少女の外見をしており、これは都市や難民などの社会集団に紛れ込ませるのが容易であるからとされる。なお、組織は被験体（エヴリン）の護送の際には父親役（アラン）、母親役（ミア）の2名の同伴を推奨している。これは周囲に一般的な「家族」であると偽装させるとともに、親という立ち位置を設けることで被験体にある程度の服従心を擦り込ませる意図があるとされる。
235,"かつてアルバート・ウェスカーが所属していた組織。研究所に残されていた書類からエヴリンの開発に関わっていたことが判明するが、初登場した『CV』から15年以上経っている今作でも正体は未だ謎に包まれている。
",かつてアルバート・ウェスカーが所属していた組織。研究所に残されていた書類からエヴリンの開発に関わっていたことが判明するが、初登場した『CV』から15年以上経っている今作でも正体は未だ謎に包まれている。
